word,synonyms
aansteller,"['poseur', 'zenuwlijder', 'zenuwpees', 'aansteller', 'neuroot', 'neuroticus']"
aardrijkskundige,['geograaf']
overeenkomst,['akkoord']
afstammeling,"['nazaat', 'nakomeling', 'descendent', 'telg']"
agent,['politieagent']
monopolie,['alleenrecht']
amateur,"['dilettant', 'liefhebber']"
anus,['aars']
arbeid,"['emplooi', 'karwei', 'werk']"
achterdocht,['argwaan']
artieste,['kunstenares']
vuilnisman,['vuilnisophaler']
assuradeur,"['verzekeringsmaatschappij', 'verzekeringsagent']"
sterrenwichelaar,['astroloog']
ruimtevaarder,['astronaut']
astroloog,['sterrenwichelaar']
auteur,"['schrijver', 'schrijfster']"
step,"['autoped', 'trottinette', 'trottinet']"
ahorn,['esdoorn']
antiekhandelaar,['antiquair']
badjas,['badmantel']
bestelwagen,"['bestelauto', 'bestelbus']"
sneeuwbal,['hortensia']
luchtballon,['heteluchtballon']
taperecorder,['tapedeck']
barbaar,['onmens']
beeldenaar,['stempeling']
begroeting,['groet']
beheerder,"['manager', 'opzichter']"
bekende,['kennis']
berg,['hoop']
bergtop,['bergpiek']
berk,['berkenboom']
badpak,"['badkledij', 'badkleding', 'badkostuum', 'zwemkledij', 'zwemkleding']"
bestanddeel,"['component', 'onderdeel']"
bestuurder,['coureur']
grastrimmer,"['trimmer', 'gazontrimmer']"
tiran,"['dwingeland', 'despoot']"
beuk,['beukenboom']
bevelhebber,['commandant']
commandant,"['bevelhebber', 'aanvoerder', 'hoofdman', 'bevelvoerder', 'legeraanvoerder']"
bevordering,['promotie']
vriend,"['kameraad', 'maat', 'makker']"
bevrijder,['verlosser']
bewaarder,"['gevangenisbewaarder', 'bewaker']"
bewaker,['bewaarder']
salaris,"['loon', 'arbeidsloon']"
bierbrouwer,['zythotechnicus']
bijenhouder,['imker']
pacemaker,['gangmaker']
cardioloog,['hartspecialist']
kinderbijslag,['gezinsbijslag']
assistentie,['bijstand']
as,['spil']
bijl,['hak']
ader,['vene']
ambulance,['ziekenwagen']
anatomie,['ontleedkunde']
blindedarmontsteking,['appendicitis']
actie,"['daad', 'handeling']"
bezigheid,['activiteit']
balsamine,['balsemien']
barones,['baronesse']
beroerte,"['attaque', 'CVA']"
douane,['grenswacht']
federatie,['statenbond']
begrafenis,"['graflegging', 'inhumatie', 'teraardebestelling', 'uitvaart']"
cijfer,['punt']
pony,['froufrou']
